trade_id,entry_date,exit_date,duration_bars,duration_hours,entry_price,exit_price,size,pnl,pnl_comm,pnl_percent,is_winner,close_reason
1,2025-08-08 09:00:00,2025-08-12 05:00:00,30,15.0,300.5,310.85189033277106,66,683.2247619628906,683.2247619628906,3.4448886298739003,True,
2,2025-08-13 10:00:00,2025-08-18 07:00:00,51,25.5,315.6000061035156,330.6936471121652,63,950.8993835449219,950.8993835449219,4.7825224070809735,True,
3,2025-08-18 08:00:00,2025-08-25 12:30:00,97,48.5,331.25,366.57000122070315,60,2119.2000732421875,2119.2000732421875,10.662641877948113,True,
4,2025-08-26 09:00:00,2025-08-28 10:30:00,41,20.5,373.54998779296875,381.50659525169516,53,421.7001953125,421.7001953125,2.1299980507926497,True,
5,2025-09-09 04:30:00,2025-09-09 09:00:00,9,4.5,389.8999938964844,383.8999938964844,51,-306.0,-306.0,-1.538856141042402,False,
6,2025-09-09 10:30:00,2025-09-16 12:30:00,99,49.5,386.04998779296875,406.05588247261795,51,1020.3006286621094,1020.3006286621094,5.182203163383593,True,
7,2025-09-19 07:30:00,2025-09-19 10:00:00,5,2.5,374.3500061035156,381.3000183105469,53,368.35064697265625,368.35064697265625,1.8565545862738482,True,
8,2025-09-19 11:00:00,2025-09-25 04:30:00,63,31.5,366.29998779296875,361.14996337890625,54,-278.101318359375,-278.101318359375,-1.4059581178510092,False,
